기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,통행시간(분)
2021,설날,D-3,1,00,249.050000000000000000000000
2021,설날,D-3,1,01,249.100000000000000000000000
2021,설날,D-3,1,02,249.150000000000000000000000
2021,설날,D-3,1,03,
2021,설날,D-3,1,04,
2021,설날,D-3,1,05,292.066000000000000000000000
2021,설날,D-3,1,06,273.616000000000000000000000
2021,설날,D-3,1,07,288.050000000000000000000000
2021,설날,D-3,1,08,277.783000000000000000000000
2021,설날,D-3,1,09,265.991000000000000000000000
2021,설날,D-3,1,10,275.766000000000000000000000
2021,설날,D-3,1,11,283.183000000000000000000000
2021,설날,D-3,1,12,273.633000000000000000000000
2021,설날,D-3,1,13,270.149500000000000000000000
2021,설날,D-3,1,14,267.950000000000000000000000
2021,설날,D-3,1,15,270.549500000000000000000000
2021,설날,D-3,1,16,276.991500000000000000000000
2021,설날,D-3,1,17,275.491500000000000000000000
2021,설날,D-3,1,18,272.400000000000000000000000
2021,설날,D-3,1,19,268.771666666666666666666666
2021,설날,D-3,1,20,263.516000000000000000000000
2021,설날,D-3,1,21,268.050000000000000000000000
2021,설날,D-3,1,22,265.033000000000000000000000
2021,설날,D-3,1,23,269.466000000000000000000000
2021,설날,D-2,2,00,262.241500000000000000000000
2021,설날,D-2,2,01,271.224500000000000000000000
2021,설날,D-2,2,02,268.933000000000000000000000
2021,설날,D-2,2,03,270.266000000000000000000000
2021,설날,D-2,2,04,272.044333333333333333333333
2021,설날,D-2,2,05,274.133000000000000000000000
2021,설날,D-2,2,06,268.844333333333333333333333
2021,설날,D-2,2,07,268.816333333333333333333333
2021,설날,D-2,2,08,280.600000000000000000000000
2021,설날,D-2,2,09,265.160666666666666666666666
2021,설날,D-2,2,10,256.541000000000000000000000
2021,설날,D-2,2,11,272.882666666666666666666666
2021,설날,D-2,2,12,279.866500000000000000000000
2021,설날,D-2,2,13,294.324500000000000000000000
2021,설날,D-2,2,14,297.666500000000000000000000
2021,설날,D-2,2,15,294.871666666666666666666666
2021,설날,D-2,2,16,317.125000000000000000000000
2021,설날,D-2,2,17,313.600000000000000000000000
2021,설날,D-2,2,18,321.224500000000000000000000
2021,설날,D-2,2,19,324.066000000000000000000000
2021,설날,D-2,2,20,328.150000000000000000000000
2021,설날,D-2,2,21,342.250000000000000000000000
2021,설날,D-2,2,22,344.583000000000000000000000
2021,설날,D-2,2,23,347.683000000000000000000000
2021,설날,D-1,3,00,231.641500000000000000000000
2021,설날,D-1,3,01,242.891500000000000000000000
2021,설날,D-1,3,02,249.933000000000000000000000
2021,설날,D-1,3,03,253.938666666666666666666666
2021,설날,D-1,3,04,257.971666666666666666666666
2021,설날,D-1,3,05,267.516500000000000000000000
2021,설날,D-1,3,06,286.372000000000000000000000
2021,설날,D-1,3,07,290.827333333333333333333333
2021,설날,D-1,3,08,283.099666666666666666666666
2021,설날,D-1,3,09,319.377333333333333333333333
2021,설날,D-1,3,10,319.110666666666666666666666
2021,설날,D-1,3,11,320.916333333333333333333333
2021,설날,D-1,3,12,325.572000000000000000000000
2021,설날,D-1,3,13,322.238666666666666666666666
2021,설날,D-1,3,14,315.658000000000000000000000
2021,설날,D-1,3,15,323.987250000000000000000000
2021,설날,D-1,3,16,319.366500000000000000000000
2021,설날,D-1,3,17,327.149666666666666666666666
2021,설날,D-1,3,18,298.474750000000000000000000
2021,설날,D-1,3,19,303.377666666666666666666666
2021,설날,D-1,3,20,280.855333333333333333333333
2021,설날,D-1,3,21,279.783000000000000000000000
2021,설날,D-1,3,22,253.033000000000000000000000
2021,설날,D-1,3,23,254.750000000000000000000000
2021,설날,D,4,00,369.966500000000000000000000
2021,설날,D,4,01,243.500000000000000000000000
2021,설날,D,4,02,240.766500000000000000000000
2021,설날,D,4,03,242.058000000000000000000000
2021,설날,D,4,04,246.241500000000000000000000
2021,설날,D,4,05,242.241500000000000000000000
2021,설날,D,4,06,244.491000000000000000000000
2021,설날,D,4,07,242.949500000000000000000000
2021,설날,D,4,08,239.049500000000000000000000
2021,설날,D,4,09,252.566500000000000000000000
2021,설날,D,4,10,254.488333333333333333333333
2021,설날,D,4,11,266.849500000000000000000000
2021,설날,D,4,12,272.041500000000000000000000
2021,설날,D,4,13,280.724500000000000000000000
2021,설날,D,4,14,268.644000000000000000000000
2021,설날,D,4,15,282.541000000000000000000000
2021,설날,D,4,16,287.633000000000000000000000
2021,설날,D,4,17,282.983000000000000000000000
2021,설날,D,4,18,276.500000000000000000000000
2021,설날,D,4,19,268.891500000000000000000000
2021,설날,D,4,20,283.750000000000000000000000
2021,설날,D,4,21,269.350000000000000000000000
2021,설날,D,4,22,257.016000000000000000000000
2021,설날,D,4,23,250.833000000000000000000000
2021,설날,D+1,5,00,227.200000000000000000000000
2021,설날,D+1,5,01,206.675000000000000000000000
2021,설날,D+1,5,02,206.791500000000000000000000
2021,설날,D+1,5,03,215.241500000000000000000000
2021,설날,D+1,5,04,214.174500000000000000000000
2021,설날,D+1,5,05,218.950000000000000000000000
2021,설날,D+1,5,06,220.424500000000000000000000
2021,설날,D+1,5,07,241.538666666666666666666666
2021,설날,D+1,5,08,233.633000000000000000000000
2021,설날,D+1,5,09,237.575000000000000000000000
2021,설날,D+1,5,10,249.091000000000000000000000
