기준년도,특수일구분명,특수일전후특송기간범위구분명,특수일전후특송기간범위구분코드,기준시,교통량(대)
2021,설날,D+3,7,08,296016
2021,설날,D-2,2,13,288936
2021,추석,D-1,3,21,150673
2021,추석,D+3,7,15,302304
2021,추석,D,4,18,284840
2021,설날,D-2,2,16,330344
2021,추석,D+1,5,11,297842
2021,설날,D+1,5,06,42746
2021,설날,D-3,1,05,79701
2021,설날,D-1,3,19,153850
2021,추석,D-2,2,23,82803
2021,추석,D+2,6,01,30125
2021,설날,D-2,2,07,258095
2021,설날,D-3,1,21,163801
2021,추석,D-2,2,09,220627
2021,추석,D-2,2,22,125443
2021,설날,D-2,2,00,41839
2021,추석,D+2,6,00,48804
2021,추석,D,4,20,229323
2021,추석,D-3,1,10,292412
2021,설날,D+2,6,10,185468
2021,추석,D+3,7,11,274310
2021,설날,D-3,1,16,300252
2021,설날,D+3,7,11,254366
2021,설날,D+3,7,09,245879
2021,추석,D+2,6,22,95414
2021,추석,D-1,3,22,113306
2021,설날,D+1,5,22,118815
2021,추석,D+2,6,12,267773
2021,설날,D+3,7,23,52151
2021,추석,D-3,1,20,177925
2021,설날,D-2,2,22,145767
2021,추석,D+1,5,00,82276
2021,추석,D,4,21,210894
2021,설날,D-2,2,05,68764
2021,설날,D-3,1,02,21026
2021,추석,D-2,2,03,27351
2021,설날,D+2,6,22,98673
2021,추석,D-1,3,17,280444
2021,추석,D-2,2,11,309192
2021,설날,D-2,2,23,99092
2021,설날,D-2,2,14,304149
2021,추석,D+2,6,06,210695
2021,추석,D-2,2,02,28461
2021,설날,D+3,7,05,87988
2021,추석,D+2,6,08,306998
2021,설날,D+2,6,03,13620
2021,추석,D-1,3,12,334134
2021,추석,D-3,1,01,50189
2021,설날,D-2,2,08,288542
2021,설날,D-3,1,23,66047
2021,설날,D-2,2,06,153341
2021,설날,D-2,2,09,255533
2021,설날,D,4,01,19733
2021,추석,D-2,2,04,36179
2021,설날,D+3,7,00,36855
2021,설날,D+1,5,13,326665
2021,설날,D+3,7,21,116915
2021,설날,D-3,1,10,278088
2021,추석,D-3,1,18,267614
2021,설날,D+2,6,18,212035
2021,추석,D-3,1,07,190030
2021,추석,D-2,2,05,62469
2021,추석,D+2,6,14,284209
2021,추석,D-1,3,13,319830
2021,설날,D+2,6,02,18016
2021,추석,D-1,3,04,30804
2021,추석,D+1,5,06,71548
2021,설날,D-3,1,09,271455
2021,설날,D+2,6,05,21304
2021,설날,D+3,7,17,290043
2021,추석,D+2,6,13,276273
2021,추석,D-3,1,02,40218
2021,추석,D-3,1,04,52712
2021,설날,D+1,5,09,159322
2021,추석,D,4,23,121472
2021,설날,D+1,5,23,78720
