iter	RMSE
0	7.484008864
1	6.107939518
2	5.190299401
3	4.587370719
4	4.071329713
5	3.770135651
6	3.473063003
7	3.277722875
8	3.101349959
9	2.946664772
10	2.813996353
11	2.724501835
12	2.659204973
13	2.575592276
14	2.512423461
15	2.461004079
16	2.377369932
17	2.34504871
18	2.278978578
19	2.259588815
20	2.199071439
21	2.153952754
22	2.111197092
23	2.105885658
24	2.084859284
25	2.048707632
26	2.008199282
27	1.974376298
28	1.915200591
29	1.90335672
30	1.861287783
31	1.838651452
32	1.832678331
33	1.829735734
34	1.825852021
35	1.809023411
36	1.775042623
37	1.75016487
38	1.723244414
39	1.68938468
40	1.678641047
41	1.64094025
42	1.61728977
43	1.61277467
44	1.591535489
45	1.573973515
46	1.571355498
47	1.554148234
48	1.537813646
49	1.517545464
50	1.499460461
51	1.486421582
52	1.483310531
53	1.480275196
54	1.457545696
55	1.444658652
56	1.421549886
57	1.411309254
58	1.395535095
59	1.37885726
60	1.364620605
61	1.345646037
62	1.328232107
63	1.315120754
64	1.299657974
65	1.285831729
66	1.265032895
67	1.254074906
68	1.252487005
69	1.234372847
70	1.219350102
71	1.202584509
72	1.192254682
73	1.174938814
74	1.158346159
75	1.145692424
76	1.123983342
77	1.117273707
78	1.106571783
79	1.093967593
80	1.085675438
81	1.080969109
82	1.071421695
83	1.060290871
84	1.050844685
85	1.049584205
86	1.033121261
87	1.023325348
88	1.004032484
89	0.9938076096
90	0.9920358473
91	0.9914283458
92	0.9854714632
93	0.9796048689
94	0.9716695421
95	0.9603766252
96	0.9529808963
97	0.9460203868
98	0.9376706121
99	0.9307446264
100	0.9230470394
101	0.9153598386
102	0.9092201822
103	0.8963930867
104	0.8874827617
105	0.8811223849
106	0.8764860405
107	0.8720526925
108	0.8646194695
109	0.8551025535
110	0.847413482
111	0.8467145756
112	0.8384685243
113	0.8340894664
114	0.8289376054
115	0.8247601573
116	0.815592037
117	0.8146246691
118	0.8029013319
119	0.795757423
120	0.7923246965
121	0.7837306507
122	0.776834363
123	0.7721810811
124	0.7648501393
125	0.7582700676
126	0.7514560908
127	0.7469580388
128	0.7456393563
129	0.7404006433
130	0.7364971773
131	0.7305145933
132	0.7291787487
133	0.7241129151
134	0.7222434347
135	0.7157229446
136	0.7121080574
137	0.7049114651
138	0.698087567
139	0.6918054728
140	0.6881048072
141	0.6849687094
142	0.6808708832
143	0.672869221
144	0.6675260795
145	0.6646335601
146	0.6591447717
147	0.6559639027
148	0.6531981749
149	0.6435332309
150	0.6417229117
151	0.640055929
152	0.6368321332
153	0.6361331564
154	0.6318831177
155	0.628551076
156	0.6219367133
157	0.6183343519
158	0.6177498046
159	0.6163229784
160	0.6098030649
161	0.6069420006
162	0.6003679239
163	0.5941273515
164	0.5910609417
165	0.5871846271
166	0.5834935688
167	0.5768855475
168	0.5720943214
169	0.5698209325
