iter	Passed	Remaining
0	1	186
1	2	174
2	3	172
3	4	167
4	5	167
5	6	168
6	7	164
7	7	161
8	8	160
9	10	162
10	11	162
11	12	161
12	13	159
13	14	158
14	15	158
15	16	158
16	17	157
17	18	158
18	20	160
19	21	160
20	22	159
21	23	157
22	24	156
23	25	155
24	26	153
25	27	152
26	28	151
27	29	151
28	38	189
29	40	186
30	40	183
31	41	180
32	42	178
33	43	175
34	44	172
35	45	170
36	46	167
37	47	165
38	48	163
39	49	161
40	50	159
41	51	157
42	52	155
43	53	154
44	55	153
45	56	151
46	57	149
47	57	147
48	58	145
49	59	143
50	60	142
51	61	140
52	62	138
53	63	136
54	64	135
55	65	133
56	66	131
57	67	130
58	68	128
59	69	127
60	70	125
61	71	124
62	72	123
63	73	121
64	74	120
65	75	118
66	76	117
67	77	116
68	78	114
69	79	113
70	80	112
71	81	110
72	82	109
73	83	108
74	84	107
75	85	105
76	86	104
77	87	103
78	88	102
79	89	100
80	90	99
81	91	98
82	92	96
83	93	95
84	94	94
85	95	92
86	96	91
87	97	90
88	98	89
89	99	88
90	100	87
91	101	86
92	102	85
93	103	83
94	104	82
95	106	81
96	107	80
97	108	79
98	109	78
99	110	77
100	112	76
101	113	75
102	114	74
103	115	73
104	116	72
105	117	71
106	118	69
107	119	68
108	120	67
109	121	66
110	122	65
111	123	63
112	124	62
113	125	61
114	126	60
115	127	59
116	128	58
117	129	57
118	130	55
119	131	54
120	132	53
121	133	52
122	134	51
123	135	50
124	136	49
125	137	48
126	138	46
127	139	45
128	140	44
129	141	43
130	142	42
131	144	41
132	145	40
133	146	39
134	147	38
135	148	37
136	149	36
137	150	34
138	151	33
139	152	32
140	153	31
141	154	30
142	155	29
143	156	28
144	157	27
145	158	26
146	159	24
147	160	23
148	161	22
149	162	21
150	163	20
151	164	19
152	166	18
153	167	17
154	168	16
155	169	15
156	170	14
157	171	12
158	172	11
159	172	10
160	174	9
161	174	8
162	176	7
163	177	6
164	179	5
165	180	4
166	181	3
167	182	2
168	183	1
169	184	0
